Time,X Pos of Ball 1,Y Pos of Ball 1,X Velocity of Ball 1,Y Velocity of Ball 1,Final Velocity of Ball 1,Angle of Velocity of Ball 1,Ax of Ball 1,Ay of Ball 1,Afinal of Ball 1,Angle of A Ball 1,Force on Ball 1,Angle of Force,X Pos of Ball 2,Y Pos of Ball 2,X Velocity of Ball 2,Y Velocity of Ball 2,Final Velocity of Ball 2,Angle of Velocity of Ball 2,Ax of Ball 2,Ay of Ball 2,Afinal of Ball 2,Angle of A Ball 2,Force on Ball 2,Angle of Force
0.4,0.985364647249814,0,4.9351997679971,0,4.9351997679971,0,-0.12479622212381,0,0.12479622212381,0,0.623981110619049,0,2.21463535275018,0,3.0648002320029,0,3.0648002320029,0,0.12479622212381,0,0.12479622212381,0,0.623981110619049,0
0.41,1.0346982058692,0,4.9339704972916,0,4.9339704972916,0,-0.122927070550037,0,0.122927070550037,0,0.614635352750184,0,2.24530179413079,0,3.0660295027084,0,3.0660295027084,0,0.122927070550037,0,0.122927070550037,0,0.614635352750184,0
0.42,1.0840197517883,0,4.93275989370334,0,4.93275989370334,0,-0.121060358826159,0,0.121060358826159,0,0.605301794130796,0,2.2759802482117,0,3.06724010629666,0,3.06724010629666,0,0.121060358826159,0,0.121060358826159,0,0.605301794130796,0
0.43,1.13332947131788,0,4.93156793320691,0,4.93156793320691,0,-0.119196049642341,0,0.119196049642341,0,0.595980248211703,0,2.30667052868212,0,3.06843206679309,0,3.06843206679309,0,0.119196049642341,0,0.119196049642341,0,0.595980248211704,0
0.44,1.18262755053409,0,4.93039459214955,0,4.93039459214955,0,-0.117334105736423,0,0.117334105736423,0,0.586670528682117,0,2.33737244946591,0,3.06960540785045,0,3.06960540785045,0,0.117334105736423,0,0.117334105736423,0,0.586670528682117,0
0.45,1.2319141752821,0,4.92923984725062,0,4.92923984725062,0,-0.115474489893182,0,0.115474489893182,0,0.577372449465908,0,2.36808582471789,0,3.07076015274938,0,3.07076015274938,0,0.115474489893182,0,0.115474489893182,0,0.577372449465908,0
0.46,1.28118953117987,0,4.92810367560118,0,4.92810367560118,0,-0.113617164943579,0,0.113617164943579,0,0.568085824717896,0,2.39881046882013,0,3.07189632439882,0,3.07189632439882,0,0.113617164943579,0,0.113617164943579,0,0.568085824717896,0
0.47,1.33045380362181,0,4.92698605466354,0,4.92698605466354,0,-0.111762093764026,0,0.111762093764026,0,0.558810468820132,0,2.42954619637818,0,3.07301394533646,0,3.07301394533646,0,0.111762093764026,0,0.111762093764026,0,0.558810468820132,0
0.48,1.37970717778256,0,4.92588696227078,0,4.92588696227078,0,-0.109909239275637,0,0.109909239275637,0,0.549546196378184,0,2.46029282221744,0,3.07411303772921,0,3.07411303772921,0,0.109909239275637,0,0.109909239275637,0,0.549546196378185,0
0.49,1.4289498386206,0,4.92480637662635,0,4.92480637662635,0,-0.108058564443488,0,0.108058564443488,0,0.54029282221744,0,2.4910501613794,0,3.07519362337365,0,3.07519362337365,0,0.108058564443488,0,0.108058564443488,0,0.54029282221744,0
0.5,1.47818197088202,0,4.92374427630359,0,4.92374427630359,0,-0.10621003227588,0,0.10621003227588,0,0.531050161379399,0,2.52181802911798,0,3.07625572369641,0,3.07625572369641,0,0.10621003227588,0,0.10621003227588,0,0.531050161379399,0
0.51,1.52740375910418,0,4.92270064024535,0,4.92270064024535,0,-0.104363605823595,0,0.104363605823595,0,0.521818029117977,0,2.55259624089581,0,3.07729935975464,0,3.07729935975464,0,0.104363605823595,0,0.104363605823595,0,0.521818029117977,0
0.52,1.57661538761941,0,4.92167544776356,0,4.92167544776356,0,-0.102519248179163,0,0.102519248179163,0,0.512596240895814,0,2.58338461238059,0,3.07832455223644,0,3.07832455223644,0,0.102519248179163,0,0.102519248179163,0,0.512596240895814,0
0.53,1.62581704055868,0,4.9206686785388,0,4.9206686785388,0,-0.100676922476117,0,0.100676922476117,0,0.503384612380587,0,2.61418295944132,0,3.0793313214612,0,3.0793313214612,0,0.100676922476117,0,0.100676922476117,0,0.503384612380587,0
0.54,1.67500890185528,0,4.91968031261992,0,4.91968031261992,0,-0.0988365918882646,0,0.0988365918882646,0,0.494182959441323,0,2.64499109814472,0,3.08031968738008,0,3.08031968738008,0,0.0988365918882646,0,0.0988365918882646,0,0.494182959441323,0
0.55,1.72419115524853,0,4.91871033042363,0,4.91871033042363,0,-0.0969982196289437,0,0.0969982196289437,0,0.484991098144719,0,2.67580884475146,0,3.08128966957637,0,3.08128966957637,0,0.0969982196289437,0,0.0969982196289437,0,0.484991098144719,0
0.56,1.77336398428743,0,4.91775871273413,0,4.91775871273413,0,-0.0951617689502926,0,0.0951617689502926,0,0.475808844751464,0,2.70663601571257,0,3.08224128726587,0,3.08224128726587,0,0.0951617689502927,0,0.0951617689502927,0,0.475808844751463,0
0.57,1.8225275723343,0,4.9168254407027,0,4.9168254407027,0,-0.0933272031425139,0,0.0933272031425139,0,0.46663601571257,0,2.7374724276657,0,3.0831745592973,0,3.0831745592973,0,0.093327203142514,0,0.093327203142514,0,0.46663601571257,0
0.58,1.8716821025685,0,4.91591049584737,0,4.91591049584737,0,-0.09149448553314,0,0.09149448553314,0,0.4574724276657,0,2.7683178974315,0,3.08408950415263,0,3.08408950415263,0,0.0914944855331399,0,0.0914944855331399,0,0.4574724276657,0
0.59,1.92082775799005,0,4.91501386005251,0,4.91501386005251,0,-0.0896635794863005,0,0.0896635794863005,0,0.448317897431503,0,2.79917224200995,0,3.08498613994749,0,3.08498613994749,0,0.0896635794863005,0,0.0896635794863005,0,0.448317897431503,0
0.6,1.96996472142331,0,4.91413551556849,0,4.91413551556849,0,-0.0878344484019904,0,0.0878344484019904,0,0.439172242009952,0,2.83003527857668,0,3.08586448443151,0,3.08586448443151,0,0.0878344484019904,0,0.0878344484019904,0,0.439172242009952,0
0.61,2.01909317552064,0,4.91327544501133,0,4.91327544501133,0,-0.0860070557153374,0,0.0860070557153374,0,0.430035278576687,0,2.86090682447936,0,3.08672455498866,0,3.08672455498866,0,0.0860070557153374,0,0.0860070557153374,0,0.430035278576687,0
0.62,2.06821330276602,0,4.91243363136238,0,4.91243363136238,0,-0.084181364895872,0,0.084181364895872,0,0.420906824479359,0,2.89178669723398,0,3.08756636863762,0,3.08756636863762,0,0.0841813648958719,0,0.0841813648958719,0,0.42090682447936,0
